id;points;games_won;games_loss;sets_won;sets_loss;matches_played;matches_won;matches_loss;matches_not_present;matches_abandoned;tie_breaks_played;tie_breaks_won
1;93664;87747;3918;73507;41794;80348;96758;28203;54797;17743;42347;75061
2;56852;80683;57592;99050;73164;41261;12768;37201;25001;77641;58054;34080
3;86711;93075;56186;85841;23859;42899;67984;75087;73990;75454;23823;10312
4;37772;90255;53432;50525;49656;82645;38961;32004;29763;89552;9998;38920
5;5348;1083;95854;90538;84714;9128;35490;31931;95680;95006;67676;95060
6;48252;57343;49302;63183;8328;44844;9170;29321;60244;32866;55370;67251
7;21272;75237;94619;79157;78129;78961;11346;9120;93092;49442;97424;5755
8;99593;54952;5587;44153;73703;88770;54591;35091;70583;11706;96865;14299
9;68803;76151;83696;61821;86686;10112;83848;8410;42609;70096;22257;7276
10;39665;82186;89189;70624;14660;8134;51332;8483;23322;98663;58130;37427
