id;name;start_date;end_date;tournament_group_id
1;Jornada 1;2019-09-03;2019-09-22;1
2;Jornada 2;2019-09-23;2019-10-13;1
3;Jornada 3;2019-10-14;2019-10-27;1
4;Jornada 4;2019-10-28;2019-11-10;1
5;Jornada 5;2019-11-11;2019-11-24;1
6;Jornada 6;2019-11-25;2019-12-08;1
7;Jornada 7;2019-12-09;2019-12-22;1
8;Jornada 8;2019-12-23;2020-01-12;1
9;Jornada 9;2020-01-13;2020-01-26;1
10;Jornada 10;2020-01-27;2020-02-09;1
11;Jornada 11;2020-02-10;2020-02-23;1

12;Jornada 1;2019-09-03;2019-09-22;2
13;Jornada 2;2019-09-23;2019-10-13;2
14;Jornada 3;2019-10-14;2019-10-27;2
15;Jornada 4;2019-10-28;2019-11-10;2
16;Jornada 5;2019-11-11;2019-11-24;2
17;Jornada 6;2019-11-25;2019-12-08;2
18;Jornada 7;2019-12-09;2019-12-22;2
19;Jornada 8;2019-12-23;2020-01-12;2
20;Jornada 9;2020-01-13;2020-01-26;2
21;Jornada 10;2020-01-27;2020-02-09;2
22;Jornada 11;2020-02-10;2020-02-23;2

23;Jornada 1;2019-09-03;2019-09-22;3
24;Jornada 2;2019-09-23;2019-10-13;3
25;Jornada 3;2019-10-14;2019-10-27;3
26;Jornada 4;2019-10-28;2019-11-10;3
27;Jornada 5;2019-11-11;2019-11-24;3
28;Jornada 6;2019-11-25;2019-12-08;3
29;Jornada 7;2019-12-09;2019-12-22;3
30;Jornada 8;2019-12-23;2020-01-12;3
31;Jornada 9;2020-01-13;2020-01-26;3
32;Jornada 10;2020-01-27;2020-02-09;3
33;Jornada 11;2020-02-10;2020-02-23;3

34;Jornada 1;2019-09-03;2019-09-22;4
35;Jornada 2;2019-09-23;2019-10-13;4
36;Jornada 3;2019-10-14;2019-10-27;4
37;Jornada 4;2019-10-28;2019-11-10;4
38;Jornada 5;2019-11-11;2019-11-24;4
39;Jornada 6;2019-11-25;2019-12-08;4
40;Jornada 7;2019-12-09;2019-12-22;4
41;Jornada 8;2019-12-23;2020-01-12;4
42;Jornada 9;2020-01-13;2020-01-26;4
43;Jornada 10;2020-01-27;2020-02-09;4
44;Jornada 11;2020-02-10;2020-02-23;4
