id;name;start_date;end_date;in_progress;win_points;loss_points;not_present_points;injured_points
1;mobile Fish;2019-09-03;2019-09-03;true;15601;44583;15599;9997
2;Trace;2019-09-03;2019-09-03;false;70807;65088;2058;5641
3;transmitter Implementation Electronics;2019-09-02;2019-09-03;true;30424;61165;52475;706
4;Home Namibia;2019-09-03;2019-09-03;false;29214;97375;36636;23277
5;Licensed Savings Account;2019-09-03;2019-09-03;true;59241;46676;4645;85994
6;Yuan Renminbi Centers;2019-09-03;2019-09-02;true;96563;56328;80839;38541
7;Music;2019-09-03;2019-09-03;false;44015;68326;12203;60999
8;backing up Salad;2019-09-03;2019-09-03;false;66252;75536;31171;42515
9;sky blue Georgia;2019-09-03;2019-09-02;true;77513;44975;93949;39515
10;Communications capacitor archive;2019-09-03;2019-09-03;true;4522;96117;32533;84453
